github.com/AlDanial/cloc v 2.08  T=8.16 s (281.7 files/s, 99308.4 lines/s)
------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                         blank        comment           code
.\backend\.deps\sqlalchemy\sql\type_api.py                                                                     581            965            822
.\backend\.deps\sqlalchemy\dialects\postgresql\asyncpg.py                                                      285            178            821
.\backend\.deps\werkzeug\test.py                                                                               255            387            820
.\backend\.deps\packaging\licenses\_spdx.py                                                                      8              0            791
.\backend\.deps\sqlalchemy\sql\traversals.py                                                                   185             51            788
.\backend\app\api\v2\api_tests.py                                                                              118             48            787
.\backend\.deps\billiard\managers.py                                                                           238            188            784
.\backend\.deps\sqlalchemy\sql\cache_key.py                                                                    149            126            782
.\backend\.deps\charset_normalizer\api.py                                                                       94            113            781
.\backend\.deps\sqlalchemy\orm\descriptor_props.py                                                             195            121            776
.\backend\.deps\alembic\script\base.py                                                                         146            132            774
.\backend\.deps\celery\backends\base.py                                                                        175            165            770
.\backend\.deps\sqlalchemy\orm\decl_api.py                                                                     490            746            768
.\backend\.deps\jwt\algorithms.py                                                                              150             93            755
.\backend\.deps\prompt_toolkit\widgets\base.py                                                                 154            171            755
.\backend\.deps\urllib3\connection.py                                                                          148            196            755
.\backend\.deps\sqlalchemy\dialects\oracle\cx_oracle.py                                                        312            496            747
.\backend\.deps\sqlalchemy\ext\asyncio\session.py                                                              518            683            746
.\README_EN.md                                                                                                 231              0            744
.\backend\.deps\celery\app\base.py                                                                             239            389            738
.\backend\.deps\billiard\connection.py                                                                         162            143            735
.\backend\.deps\tzlocal\windows_tz.py                                                                            2              3            731
.\backend\.deps\sqlalchemy\orm\events.py                                                                       744           1779            729
.\backend\.deps\_pytest\capture.py                                                                             223            148            711
.\backend\.deps\_pytest\main.py                                                                                121             82            710
.\backend\.deps\charset_normalizer\md.py                                                                       154             74            708
.\backend\.deps\alembic\ddl\impl.py                                                                            129            100            692
.\backend\.deps\six.py                                                                                         190            121            692
.\backend\.deps\sqlalchemy\testing\assertions.py                                                               208             94            692
.\backend\.deps\sqlalchemy\orm\properties.py                                                                   153             91            691
.\backend\.deps\prompt_toolkit\document.py                                                                     215            277            690
.\backend\.deps\werkzeug\serving.py                                                                            202            221            686
.\backend\app\services\api_execution_service.py                                                                108             39            682
.\backend\.deps\sqlalchemy\orm\interfaces.py                                                                   346            469            681
.\backend\.deps\sqlalchemy\sql\ddl.py                                                                          332            432            680
.\docs\vs-metersphere.md                                                                                       166              0            680
.\backend\.deps\alembic\ddl\postgresql.py                                                                      105             81            678
.\backend\.deps\click\types.py                                                                                 248            289            672
.\backend\.deps\alembic\config.py                                                                              187            195            669
.\backend\app\api\web_test.py                                                                                  141             88            668
.\backend\.deps\kombu\transport\SQS.py                                                                         204            320            660
.\backend\.deps\sqlalchemy\orm\_orm_constructors.py                                                            517           1487            657
.\backend\.deps\redis\_parsers\helpers.py                                                                      130             71            651
.\backend\.deps\sqlalchemy\ext\asyncio\engine.py                                                               361            461            649
.\backend\.deps\alembic\autogenerate\compare\constraints.py                                                     96             71            645
.\backend\.deps\flask\cli.py                                                                                   219            204            645
.\backend\.deps\kombu\transport\virtual\base.py                                                                187            211            641
.\backend\.deps\urllib3\connectionpool.py                                                                      191            348            639
.\infra\monitoring\dashboards\fullscopetest.json                                                                 0              0            639
.\backend\.deps\kombu\transport\gcpubsub.py                                                                    104             79            636
.\backend\.deps\werkzeug\http.py                                                                               305            435            632
.\backend\app\utils\ai_web_explorer.py                                                                          57             31            632
